id,title,genre1_id,genre2_id,genre3_id,genre4_id,genre5_id,studio_id,director_id,actor1_id,actor2_id,actor3_id,actor4_id,actor5_id,actor6_id,rating,budget_usd,budget_category,runtime_minutes,release_date,screens_opening_day,kinocheck_trailer_views,opening_weekend_box_office,actual_box_office_domestic_usd,actual_box_office_international_usd
1,Oppenheimer,Drama,Biography,History,,,Universal Pictures,Christopher Nolan,Cillian Murphy,Emily Blunt        ,"Robert Downey, Jr.",Matt Damon,Rami Malek        ,Florence Pugh,R,100.0,High,180,2023-07-21,3610.0,,82.455,330.078,646.186
2,Barbie,3,4,,,,Warner Bros. Pictures,Greta Gerwig,Margot Robbie,Ryan Gosling,America Ferrera,Ariana Greenblatt,Issa Rae,Kate McKinnon,PG-13,145.0,High,114,2023-07-19,,,143.11820367900003,650.5372894500001,795.1011315500001
3,Guardians of the Galaxy Vol. 3,5,4,6,3.0,,Marvel Studios (Walt Disney Studios),James Gunn,Chris Pratt,Zoe Saldaña,Dave Bautista,Karen Gillan,Pom Klementieff,Vin Diesel,PG-13,250.0,High,150,2023-05-03,,1522016.0,83.71440000000001,380.52000000000004,465.08000000000004
4,Spider-Man: Across the Spider-Verse,7,6,4,5.0,,Sony Pictures Animation (Columbia Pictures),"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",Shameik Moore,Hailee Steinfeld,Brian Tyree Henry,Luna Lauren Velez,Jake Johnson,Oscar Isaac,PG,100.0,High,140,2023-05-31,,445607.0,68.39889309,310.9040595,379.99385050000006
5,The Super Mario Bros. Movie,8,3,4,7.0,,Illumination (Universal Pictures),"Aaron Horvath, Michael Jelenic",Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Black,Keegan-Michael Key,Seth Rogen,PG,100.0,High,93,2023-04-05,,2933946.0,134.838,612.9,749.1
6,Mission: Impossible – Dead Reckoning Part One,6,4,9,,,Paramount Pictures,Christopher McQuarrie,Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg,Rebecca Ferguson,Vanessa Kirby,PG-13,291.0,High,164,2023-07-08,,727984.0,56.541418065,257.00644575,314.11898925
7,John Wick: Chapter 4,6,9,10,,,Lionsgate,Chad Stahelski,Keanu Reeves,Donnie Yen,Bill Skarsgård,Ian McShane,Laurence Fishburne,Lance Reddick,R,100.0,High,170,2023-03-22,,2025759.0,43.575567255,198.07076025,242.08648475
8,Indiana Jones and the Dial of Destiny,4,6,,,,Lucasfilm (Walt Disney Studios),James Mangold,Harrison Ford,Phoebe Waller-Bridge,Mads Mikkelsen,Boyd Holbrook,Olivier Richters,Ethann Isidore,PG-13,294.0,High,155,2023-06-25,,1263383.0,38.012342643000004,172.78337565,211.17968135
9,Wonka,3,8,11,,,Warner Bros. Pictures,Paul King,Timothée Chalamet,Calah Lane,Keegan-Michael Key,Hugh Grant,Paterson Joseph,Olivia Colman,PG,125.0,High,117,2023-12-06,,902055.0,62.815728888,285.5260404,348.9762716
10,Killers of the Flower Moon,10,2,1,,,Apple Original Films (Distributed by Paramount Pictures),Martin Scorsese,Leonardo DiCaprio,Robert De Niro,Lily Gladstone,Jesse Plemons,Tantoo Cardinal,John Lithgow,R,200.0,High,206,2023-10-18,,523626.0,15.713537301000002,71.42516955,87.29742945000001
11,Dungeons & Dragons: Honor Among Thieves,4,11,3,,,Paramount Pictures,"Jonathan Goldstein, John Francis Daley",Chris Pine,Michelle Rodriguez,Justice Smith,Sophia Lillis,Hugh Grant,Regé-Jean Page,PG-13,151.0,High,134,2023-03-23,,695999.0,20.6118,93.69,114.51
12,The Little Mermaid,8,4,11,12.0,1.0,Walt Disney Pictures,Rob Marshall,Halle Bailey,Jonah Hauer-King,Melissa McCarthy,Javier Bardem,Noma Dumezweni,Art Malik,PG,297.0,High,135,2023-05-18,,,56.393002611,256.33183005,313.29445895000003
13,Ant-Man and the Wasp: Quantumania,6,4,5,,,Marvel Studios (Walt Disney Studios),Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Douglas,Michelle Pfeiffer,Jonathan Majors,Kathryn Newton,PG-13,200.0,High,120,2023-02-15,,466829.0,47.13104682,214.232031,261.839149
14,The Hunger Games: The Ballad of Songbirds & Snakes,1,5,4,6.0,,Lionsgate,Francis Lawrence,Tom Blyth,Rachel Zegler,Peter Dinklage,Jason Schwartzman,Hunter Schafer,Josh Rivera,PG-13,100.0,High,157,2023-11-15,,1228979.0,33.399819783000005,151.81736265,185.55455435000002
15,Creed III,1,6,,,,Metro-Goldwyn-Mayer (Amazon Studios),Michael B. Jordan,Michael B. Jordan,Tessa Thompson,Jonathan Majors,Phylicia Rashād,Mila Davis-Kent,Wood Harris,PG-13,75.0,Mid-Range,116,2023-03-01,,990518.0,27.2547,123.885,151.41500000000002
16,Scream VI,13,10,9,,,Paramount Pictures (Spyglass Media Group),"Matt Bettinelli-Olpin, Tyler Gillett",Melissa Barrera,Jenna Ortega,Jasmin Savoy Brown,Mason Gooding,Jack Champion,Roger L. Jackson,R,35.0,Mid-Range,120,2023-03-08,,630917.0,16.727177511,76.03262505000001,92.92876395
17,Cocaine Bear,9,3,10,,,Universal Pictures,Elizabeth Banks,Keri Russell,Alden Ehrenreich,O'Shea Jackson Jr.,Ray Liotta,"Isiah Whitlock, Jr.",Brooklynn Prince,R,32.0,Mid-Range,95,2023-02-22,,757366.0,8.743152528000001,39.741602400000005,48.573069600000004
18,A Haunting in Venice,14,9,10,,,20th Century Studios,Kenneth Branagh,Kenneth Branagh,Kyle Allen,Camille Cottin,Jamie Dornan,Tina Fey,Jude Hill,PG-13,60.0,Mid-Range,104,2023-09-13,,250732.0,12.018600000000001,54.63,66.77000000000001
19,The Creator,5,6,4,,,20th Century Studios,Gareth Edwards,John David Washington,Madeleine Yuna Voyles,Gemma Chan,Allison Janney,Ken Watanabe,Sturgill Simpson,PG-13,80.0,Mid-Range,134,2023-09-27,,612903.0,10.322941464,46.9224612,57.34967480000001
20,Five Nights at Freddy's,13,9,,,,Universal Pictures (Blumhouse Productions),Emma Tammi,Josh Hutcherson,Piper Rubio,Elizabeth Lail,Matthew Lillard,Mary Stuart Masterson,Kat Conner Sterling,PG-13,20.0,Mid-Range,110,2023-10-25,,1510848.0,29.417268870000004,133.71485850000002,163.42927150000003
21,The Nun II,13,,,,,Warner Bros. Pictures (New Line Cinema),Michael Chaves,Taissa Farmiga,Jonas Bloquet,Storm Reid,Anna Popplewell,Bonnie Aarons,Katelyn Rose Downey,R,38.0,Mid-Range,110,2023-09-06,,979655.0,26.69738841,121.3517655,148.3188245
22,Anyone But You,12,3,,,,Sony Pictures Releasing (Columbia Pictures),Will Gluck,Sydney Sweeney,Glen Powell,Mia Artemis,Nat Buchanan,GaTa,Alexandra Shipp,R,25.0,Mid-Range,103,2023-12-21,,276379.0,21.27424563,96.7011165,118.19025350000001
23,Sound of Freedom,6,1,,,,Angel Studios,Alejandro Monteverde,Jim Caviezel,Mira Sorvino,Bill Camp,Gerardo Taracena,Kurt Fuller,José Zúñiga,PG-13,14.0,Mid-Range,131,2023-07-03,,422248.0,24.8094,112.77,137.83
24,Air,5,9,,,,Amazon Studios,Ben Affleck,Matt Damon,Ben Affleck,Jason Bateman,Chris Messina,Viola Davis,Julius Tennon,R,80.0,Mid-Range,111,2023-04-05,,,8.9199,40.545,49.555
25,The Boys in the Boat,1,2,,,,Metro-Goldwyn-Mayer (Amazon Studios),George Clooney,Joel Edgerton,Callum Turner,Peter Guinness,Sam Strike,Thomas Elms,Jack Mulhern,PG-13,40.0,Mid-Range,120,2023-12-25,,,5.3857567170000005,24.48071235,29.920870650000005
26,No Hard Feelings,3,12,,,,Sony Pictures Releasing (Columbia Pictures),Gene Stupnitsky,Jennifer Lawrence,Andrew Barth Feldman,Laura Benanti,Natalie Morales,Matthew Broderick,Scott MacArthur,R,45.0,Mid-Range,104,2023-06-15,,700078.0,8.217,37.35,45.650000000000006
27,Guy Ritchie's The Covenant,15,6,9,,,Metro-Goldwyn-Mayer (Amazon Studios),Guy Ritchie,Jake Gyllenhaal,Dar Salim,Sean Sagar,Jason Wong,Rhys Yates,Christian Ochoa,R,55.0,Mid-Range,120,2023-04-19,,,2.172906549,9.87684795,12.07170305
28,65,6,4,5,,,Sony Pictures Releasing (Columbia Pictures),"Scott Beck, Bryan Woods",Adam Driver,Ariana Greenblatt,Chloe Coleman,Nika King,Brian Dare,,PG-13,45.0,Mid-Range,92,2023-03-02,,478449.0,6.012326232,27.3287556,33.401812400000004
29,Past Lives,1,12,,,,A24,Celine Song,Greta Lee,Teo Yoo,John Magaro,Moon Seung-ah,Yim Seung-min,Yoon Ji-hye,PG-13,12.0,Low/Independent,106,2023-06-02,,,2.784537954,12.656990700000001,15.469655300000001
30,Anatomy of a Fall (Anatomie d'une chute),9,14,10,,,Le Pacte (Neon distributing in US),Justine Triet,Sandra Hüller,Swann Arlaud,Milo Machado-Graner,Antoine Reinartz,Samuel Theis,Jehnny Beth,R,6.0,Low/Independent,151,2023-08-23,,414515.0,3.527779167,16.03535985,19.59877315
31,Poor Things,5,12,3,,,Searchlight Pictures,Yorgos Lanthimos,Emma Stone,Mark Ruffalo,Willem Dafoe,Ramy Youssef,Christopher Abbott,Suzy Bemba,R,35.0,Low/Independent,141,2023-12-07,,451620.0,11.643104583,52.92320265,64.68391435000001
32,The Holdovers,3,1,,,,Focus Features,Alexander Payne,Paul Giamatti,Dominic Sessa,Da'Vine Joy Randolph,Carrie Preston,Brady Hepner,Ian Dolley,R,13.0,Low/Independent,133,2023-10-27,,122194.0,4.20881373,19.1309715,23.3822985
33,Asteroid City,3,1,,,,Focus Features,Wes Anderson,Jason Schwartzman,Scarlett Johansson,Tom Hanks,Jeffrey Wright,Tilda Swinton,Bryan Cranston,PG-13,25.0,Low/Independent,105,2023-06-08,,189522.0,4.68088533,21.2767515,26.004918500000002
34,Priscilla,1,12,,,,A24,Sofia Coppola,Cailee Spaeny,Jacob Elordi,Ari Cohen,Dagmara Dominczyk,Tim Post,Lynne Griffin,R,20.0,Low/Independent,113,2023-10-27,,,2.983949694,13.5634077,16.577498300000002
35,American Fiction,3,1,,,,Orion Pictures (Amazon MGM Studios),Cord Jefferson,Jeffrey Wright,John Ortiz,Erika Alexander,Leslie Uggams,Sterling K. Brown,Skyler Wright,R,16.0,Low/Independent,117,2023-11-10,,,2.22585363,10.1175165,12.365853500000002
36,Bottoms,3,,,,,Orion Pictures (Metro-Goldwyn-Mayer),Emma Seligman,Rachel Sennott,Ayo Edebiri,Ruby Cruz,Havana Rose Liu,Kaia Gerber,Nicholas Galitzine,R,11.0,Low/Independent,91,2023-08-25,,,1.284631821,5.839235550000001,7.136843450000001
37,Theater Camp,3,,,,,Searchlight Pictures,"Molly Gordon, Nick Lieberman",Ben Platt,Molly Gordon,Noah Galvin,Jimmy Tatro,Caroline Aaron,Ayo Edebiri,PG-13,5.0,Low/Independent,93,2023-07-13,,,0.43560000000000004,1.9800000000000002,2.4200000000000004
38,How to Blow Up a Pipeline,10,1,9,,,Neon,Daniel Goldhaber,Ariela Barer,Kristine Froseth,Lukas Gage,Forrest Goodluck,Sasha Lane,Jayme Lawson,R,0.25,Low/Independent,104,2023-04-07,,8590.0,0.08735245200000001,0.39705660000000004,0.48529140000000004
39,Talk to Me,13,,,,,A24,"Danny Philippou, Michael Philippou",Sophie Wilde,Alexandra Jensen,Joe Bird,Otis Dhanji,Miranda Otto,Zoe Terakes,R,4.0,Low/Independent,95,2023-07-26,,429959.0,9.108,41.4,50.6
40,BlackBerry,3,1,,,,IFC Films,Matt Johnson,Jay Baruchel,Glenn Howerton,Matt Johnson,Rich Sommer,Michael Ironside,Cary Elwes,R,5.0,Low/Independent,120,2023-02-13,,57342.0,0.2574,1.1700000000000002,1.4300000000000002
41,The Zone of Interest,1,2,15,,,A24,Jonathan Glazer,Christian Friedel,Sandra Hüller,Johann Karthaus,Luis Noah Witte,Nele Ahrensmeier,Lilli Falk,PG-13,15.0,Low/Independent,105,2023-12-15,,618452.0,5.2105565160000005,23.6843478,28.947536200000002
42,Skinamarink,13,,,,,IFC Midnight (Shudder),Kyle Edward Ball,Lucas Paul,Dali Rose Tetreault,Ross Paul,Jaime Hill,Kyle Edward Ball,,NR,0.015,Low/Independent,100,2023-01-13,,,0.2079,0.9450000000000001,1.1550000000000002
